,deterministic,surrogate_0,surrogate_1,surrogate_2
0,220531.04635158833,221238.69174087833,218949.68609930386,221490.01037794602
1,200207.05263907748,201244.3765787623,198495.87400792234,201922.0604737845
2,298193.6615651716,291194.5483690007,302950.4361024265,292437.07485132094
3,224802.53604453325,224136.50157543342,223613.14247574465,222774.60968289798
4,210815.39118587045,211797.55254967796,209140.84927505665,212405.7348129991
5,210143.5085196072,210331.52417967352,208655.19890693005,209989.6456387715
6,233153.80276650575,228676.1674553737,233619.64331251013,234114.87973463413
7,211768.156805536,212058.32522815236,210260.17807433842,211840.3310890614
8,215797.96692218797,216559.69526086436,214193.73347514123,216887.0335922789
9,218013.67818167323,218592.30769220268,216470.60416679247,218681.00759804645
10,217631.95216078177,218083.35400030203,216106.32235061133,218029.333799395
11,204290.37269075902,205746.19750891736,202487.18153317523,206907.65771313792
12,220137.97530518714,219913.19306988898,223374.69021658486,221128.11574140858
13,217681.55848050478,218334.27400667104,216105.7834684798,218534.92897335507
14,202187.2410543562,202950.95987887122,200539.9555642287,203317.59762387577
15,240278.24810361362,234857.1742969588,242187.91543581156,241283.55111027247
16,202000.52633416167,202791.4362738012,200348.6174191698,203182.4225749444
17,204718.37094189064,205042.0302064123,203182.60486611255,204884.04056038446
18,208977.04695583286,209353.88314933327,207452.24628671966,209257.29267460824
19,206191.60959769925,206447.36022939428,204681.81159888426,206201.76456535477
20,200000.54183361985,200575.93668053707,198406.22145111815,200726.22952273727
21,202847.4456195254,203877.43916002943,201140.32830616806,204548.4792129613
22,213545.60739216878,213513.9855820494,212118.06456343184,212930.2788583421
23,248828.5502113594,240491.21185472977,248857.71832387612,241298.0172965804
24,213216.1720337965,213342.59031274053,211761.07987100858,212923.11522474454
25,197523.14115330784,198697.5949583633,195786.17122199925,199602.24816009775
26,209986.24790293985,210528.32828842697,208407.38196845364,210610.74350552555
27,211523.67462017358,211748.6202970461,210037.35121290464,211443.5725628706
28,208015.9059668997,208339.86054455096,206492.51540165293,208173.64637435394
