,deterministic,surrogate_2,surrogate_1,surrogate_0
0,209227.97214725497,212170.94469665777,215209.5344685118,243076.29078586318
1,171263.07367543178,171552.11185452205,171097.7821948008,172781.18638784316
2,186787.49617424872,187151.72537250092,186715.39963079983,188093.675006041
3,174277.91265505366,174457.52122817043,173949.87366246505,176743.89441685658
4,188492.05420504409,189073.84623529558,188737.16191310823,187551.87204025703
5,204270.79467602688,205073.27300929188,204822.24988122264,200836.0565346001
6,196729.7686821111,197215.25644397768,196834.29122278787,196539.93616358656
7,198133.09896498322,198757.93687885697,198417.24141446687,196772.6559619534
8,257841.88930540602,252798.1219223461,250268.6258869157,292877.52922745206
9,210115.63898167742,213115.23273214122,215663.37219781164,223445.03982516448
10,288731.85062073206,283742.83387264295,277957.57639737136,330891.63963712147
11,203222.86076995448,204077.69340306296,203847.32596481362,199391.08315170172
12,243078.17183921067,242062.67860981374,242844.8457642949,243482.4095709627
13,186906.38483191174,187519.90328302485,187202.996463117,185905.80159578603
14,182305.67297452356,182934.32275815535,182627.43124210346,181612.05006711985
15,202023.92058628477,202653.65776688678,202348.8749973502,203307.12468290003
16,200512.4151138528,201235.4248425025,200953.28168855872,197904.92248038796
17,182111.4286102076,182655.15890440272,182307.1475166114,181596.22725636733
18,185974.18488561627,186226.6284672494,185741.13736774697,187419.22897804278
19,243078.17183921067,242062.67860981374,242844.8457642949,243482.4095709627
20,305471.41828964883,302756.2883097329,298246.3551282108,302575.9184068308
21,193065.6224319197,193748.28860544282,193449.73115250765,190831.07184388267
22,194971.81193405332,195659.55009571806,195365.12695742576,192920.26777269907
23,194127.6918995976,194468.91093565294,194018.95597965014,194900.5781966485
24,178894.88468714702,179198.10706215928,178740.30402760222,180423.7622175713
25,203320.08818674932,204063.82284476937,205166.65102229032,211643.41094577895
26,725103.6099894014,717625.1567331075,692168.3875705567,743566.3848004217
27,200512.4151138528,201235.4248425025,200953.28168855872,197904.92248038796
28,679578.4939834834,679316.7578328636,662190.0803201154,642753.7743427097
29,197250.8073009363,198062.2566512933,197813.18877809087,193790.34133946674
30,194959.50187673583,195381.31791927977,194965.9678686523,195116.99300006512
31,201025.57613871276,201536.3514212393,202370.2071156967,213340.97084755916
32,183107.72709071852,183570.2328540093,183179.33954274905,183079.80882503907
33,188594.24809711456,188916.41871063196,188461.68634096917,189502.3517489686
34,193884.04572265697,194444.69839533622,194090.66532850644,192572.92315968743
35,323716.9020596356,319096.3949947072,312326.1146803939,399060.0178753061
36,185185.29759277587,185703.37505249478,185334.36976477888,184354.6840791041
37,196293.52741099792,196979.62964851383,196676.772514239,193929.2959718245
38,355112.33381669316,354443.6025646735,349222.71090922115,352040.6998641585
39,199389.3598599205,200108.36602439644,199816.07088057557,196773.1098913681
40,568857.4739986152,569994.150499777,552870.13485793,510219.1812556635
41,204825.01863296854,205542.24874262474,205266.67092533782,203447.86966274522
42,185490.7868710367,185892.2003552762,185471.47452734868,185754.47168065753
43,188067.96757222217,188494.13463406463,188089.48340989085,188014.4670257353
44,180885.30580288603,181325.73354017767,180925.43309995902,180792.4413249924
45,195491.55330116852,196113.43623175632,195784.07225079526,193715.02851761985
46,477778.8919296487,470485.6292653427,454624.7774056609,500973.5708925872
47,189971.51750016696,190546.08065301238,190199.2735113758,188964.95099248516
48,203052.90214636317,203788.81858102867,203519.63268003854,200408.70082195592
49,194211.68877559164,194729.13641014035,194355.83363193908,193564.95919932667
50,183715.66876548762,183920.0919486616,183415.19582414313,186008.0716881515
51,220573.80586022668,219428.49002097125,223372.72961506934,233979.92373931693
52,204264.99072621227,205251.55721925996,205077.97416075226,199251.92031704303
53,216005.15809389076,217150.78542233756,220427.45742383198,233168.2899561504
54,187640.06934737813,188153.89854614812,187783.65489076293,187229.4552891525
55,196323.12281163552,197067.7160628347,196796.62243193455,193396.20012537733
56,185661.4665816238,186194.546547816,185837.64290825705,185268.56920272397
57,203421.48249756882,204209.88568702908,203955.18790501216,200209.61948831537
58,189309.63011039316,189827.14871230302,189453.1791800526,188616.82172678586
59,200165.8553379239,201026.25707495684,200803.91219488694,196286.33000572474
60,185937.1259398712,186744.34958301825,186505.1655783932,183628.05813507808
61,188936.91058954602,189322.13736254215,188896.91999254137,189321.6485958994
62,199637.91376624219,200242.3979965187,199903.29485541114,197880.3809635265
63,205807.86999848584,206740.43336779127,206548.7183057064,201357.23678213355
64,203692.06905848195,204283.73437790165,203938.9641897954,202180.1552123298
65,191193.48151612168,191837.33172566362,191530.03582805154,189949.78377735548
66,197787.1386591185,198520.94227420833,198244.6274460074,195033.30774391064
67,864444.7548123721,860917.1127938079,826449.2729382603,859078.117233675
68,185177.629955253,186002.22168559322,185769.54362658627,182552.25586191053
69,196116.60305021502,196792.16959661993,196488.35509262234,193811.6804176914
70,196055.03992197796,196599.64240734227,196238.52088106447,195071.62381821685
71,191568.19427112286,192045.15540136196,191654.1241351384,191093.6300555103
72,714952.291903032,717037.6630871498,699421.3126351554,687447.9704677755
73,185608.22468300012,186153.38928061418,185799.56275988498,185029.45502991308
74,189364.308773645,190098.82490189365,189824.99760112987,186608.90262200212
75,189257.84031422006,189739.1592048882,189356.85719435822,188730.66307735027
76,196293.52741099792,196979.62964851383,196676.772514239,193929.2959718245
77,316291.04587391554,316351.74103488814,308257.37467497325,284306.386248049
78,184336.9089800273,184863.61923614613,184501.55233480583,183670.27109611957
79,181488.36838577714,181888.4402880942,181477.96698983148,182606.63802701986
80,204597.70553411928,205436.86540124798,205203.6765438739,200918.82643150387
81,184764.37631092322,185295.58745413632,184934.98390367287,184274.8133702546
82,196300.9756322485,196851.92479618645,196490.36785689063,195135.76768928143
83,208435.1110479382,209316.44170860725,209134.0435295648,204380.8531970653
84,191692.9569222427,192131.11863035307,191725.80553654052,192086.295751782
85,194954.37240611142,195573.31019067584,195249.27042820537,193258.3177525141
86,195328.9087198896,196010.02906603308,195714.4062645082,193319.60896448456
87,565756.286432915,564201.933868632,544201.3154286402,529063.311703267
88,192569.32177831247,193156.1914991788,192816.94015751113,191766.67831460794
89,187047.60317898833,187477.91462040727,187070.87186937217,187572.2122019351
90,198868.8989814688,199528.83271075494,199206.92336194124,197000.16702698029
91,180242.7626635351,180684.4671608101,180286.58433158396,180794.9014801757
92,193356.45677510888,193870.9873737928,193483.5386811196,192547.1767965924
93,194661.54760354757,195301.41046777807,194983.12684781945,192757.33675028523
94,200548.1810544235,201184.95586478309,200859.8653706884,198914.7747820379
95,180242.7626635351,180684.4671608101,180286.58433158396,180794.9014801757
96,222331.5689326138,223064.45460586605,224840.84788874007,211303.75973731137
97,184100.17141007783,184425.27645207354,183972.3122052392,185023.15737451025
98,316743.17195060925,314539.92976271745,307715.0428962933,341059.6575673028
99,181004.40858436612,181367.7675145853,180935.50099816525,181496.95909472552
100,183387.580126586,183859.994414568,183474.05344799891,183948.17925853486
