,deterministic,surrogate_0
0,218723.92790749023,215802.37336505152
1,197785.79432491862,194352.47523343575
2,299569.2275390972,322310.71799782396
3,225454.10233966482,229999.1366717319
4,208547.0054473845,205293.6838462619
5,209202.4389140038,207168.6336385926
6,229700.3022835257,237299.49618471434
7,210660.07860778773,208463.88363810425
8,213935.29897128863,211076.57349522223
9,216461.6671313708,213816.86589440692
10,216281.3959418715,213831.57189139313
11,201165.99499238582,197059.7243959636
12,218932.71013873498,227620.76431913773
13,216006.95647728382,213321.59818811913
14,200225.7558474366,197256.87260240107
15,238287.75165015185,251172.42579754363
16,199998.89030439267,196960.48013540424
17,203518.00335055572,201253.1161136688
18,207766.50262629383,205570.7191407771
19,205121.1711077306,202979.49242373908
20,198427.66842389497,195898.72196365395
21,200437.92278079162,197042.79842443072
22,213007.81004288897,211449.54514737928
23,250813.94389184334,268210.5845484179
24,212432.2119452012,210567.10633511236
25,195008.8430601543,191708.08120908047
26,208414.26552879074,205760.17521777094
27,210535.3645283513,208453.47818215794
28,340693.67326576565,204634.59835870613
29,196488.98318970998,193223.90913376835
30,188271.42112824542,184113.3622164409
31,216655.73944748973,214697.19881157455
32,219858.5383723918,217926.39874048205
33,222901.50232663253,221426.0120942001
34,190007.17969579046,186124.9358322323
35,206335.9344447222,203027.18638618296
36,209178.72885668103,207351.78115772048
37,206640.98368304476,203919.2498490651
38,212787.4165396967,210767.6567515598
39,216148.70430953935,214817.55192902905
40,222470.56489208824,223405.50974627267
41,196194.3894648952,193613.4827441538
42,209155.93201688968,206336.72140267174
43,196273.78953856826,193088.0622552023
44,209280.91488036726,207573.94111192104
45,203319.17951849877,201154.51017538362
46,208444.5592832083,205120.18629135145
47,199570.87486728304,196988.60952967627
48,215884.85273999439,213700.14731889247
49,196353.95490697684,193372.699807149
50,209947.5169904633,208220.27165639075
51,201140.1576534248,198249.05260667152
52,199173.343377514,196668.5046532319
53,201061.65978578784,198114.22030699617
54,220686.9866853712,218686.3087720608
55,209840.12413801777,207098.48603168287
56,191102.82839365496,187750.7097661394
57,243051.61464154307,265070.01168841636
58,211927.26613261708,210185.4562348544
59,205556.2239041009,203140.46634919217
60,223572.0481065483,225723.3579665668
61,215816.8287728391,213703.51427384937
62,210791.95447721635,208258.0210932485
63,203492.0511068179,200654.28077407746
64,203399.43860554794,200695.34374375746
65,202719.60527791322,199883.16422956687
66,192939.47163803357,189591.33470436098
67,197357.07533073926,194449.01606752654
68,206625.9212253783,204240.6667425316
69,211665.53915916997,209615.86911212618
70,211049.07043842992,209001.55160625948
71,207122.93239079794,204797.99319127057
72,208052.16622253758,205522.57184871257
73,216455.8681428504,214855.97229484463
74,208522.06251870806,206600.5104319186
75,209257.86541992638,207109.12106485345
76,194151.06350873673,190702.54020594957
77,200119.40414852108,196798.30103087128
78,236166.1928024443,246522.84806326067
79,209998.3405446107,207332.85216817708
80,217313.61787915215,216087.0724323595
81,207179.72189177788,204560.4877608852
82,204985.40609891037,203370.32966513617
83,208410.11978518896,205798.74416091674
84,212013.28871576968,209988.44966084824
85,223662.05990619957,222758.69347770288
86,230483.96622148325,240975.45384845271
87,215123.66940272902,197264.30651996052
88,212635.57175809518,210384.0685120416
89,394869.7881118981,433994.68171064585
90,211385.84300516226,209196.6336615199
91,211799.19114705862,209483.69906639337
92,206957.63216176938,204481.9626943343
93,210909.7684110407,208997.02431401185
94,211403.70002729553,209346.06339471473
95,205960.0651020943,203435.45406695685
96,207346.68686830226,204979.8112174823
97,194027.19496646852,190923.85434676177
98,312810.31339277094,331180.6294329484
99,217444.85125673685,216038.72246604343
100,214559.69613393536,212479.6385505647
101,205197.8512030798,202707.64128685064
