,technology,CapeX (mn£/GW),FixOM (mn£/GWyr),Life (yr),Max_capacity (GW),ref,capacity_at_0,capacity_at_5,capacity_at_10
1,Coal,2083,26.84,35,200,coal,13.99999,12.599991,10.0799928
2,CoalCCS,3354,47.17,35,100,coalccs,2.0,2.0,2.0
3,OCGT,480,5,30,200,ocgt,8.0,7.2,6.48
4,CCGT,726,10.91,30,200,ccgt,24.99999,22.499991,20.2499919
5,Diesel,320,3,25,100,diesel,5.0,4.5,4.05
6,Nuclear,3926,66.23,40,15,nuclear,6.99999,6.6499905,6.317490975
7,PHES,510,9.9,20,1000,PHES,4.04,3.838,3.6461
8,Lithium,750,1.5,15,400,lithium,0.5,0.5,0.5
9,Wind_onshore,1571,28.08,50,250,windon,20.512976,19.4873272,18.51296084
10,Wind_offshore,4423,52.54,50,500,windoff,14.854224,14.1115128,13.40593716
11,Solar,2749,17.53,15,450,solar,21.2256,20.16432,19.156104
